voi,S
0,1
1,1.1
2,1.2
3,1.3
4,1.4
5,1.5
6,1.6
7,1.7
8,1.8
9,1.9
10,2
11,2.1
12,1.077
13,1.177
14,1.277
15,1.377
16,1.477
17,1.577
18,1.677
19,1.777
20,1.877
21,1.977
22,2.077
23,1.054
24,1.154
25,1.254
26,1.354
27,1.454
28,1.554
29,1.654
30,1.754
